TFH,00000001,23456790,1003,20201003,190000,10
TFD,00000002,001101190002,101560,100,433432,8594,2601,20201003,183646,000000891102,000000,ARG,0301
TFD,00000003,001101190007,101565,100,480363,7931,2202,20201003,184553,000000880016,000000,ARG,0306
TFD,00000004,001101190008,101566,008,841523,8135,2609,20201003,184624,000000954438,000000,ARG,0307
TFD,00000005,001101190009,101567,100,439918,5408,2205,20201003,184630,000000859252,000000,ARG,0308
TFD,00000006,001101190010,101568,008,850958,9818,2602,20201003,184756,000000893124,000000,ARG,0309
TFD,00000007,001101190011,101569,100,440020,7487,2112,20201003,184915,000000103228,000000,ARG,0310
TFD,00000008,001101190002,000000,100,433432,8594,2601,20201003,185336,000000100000,111111,ARG,0314
TFD,00000009,001101190007,000000,100,480363,7931,2202,20201003,185403,000000100000,111111,ARG,0315
TFD,00000010,001101190009,000000,100,439918,5408,2205,20201003,185416,000000100000,111111,ARG,0316
TFD,00000011,001101190011,000000,100,440020,7487,2112,20201003,185555,000000100000,111111,ARG,0317
